Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",SC,29803,,,Web,2025-10-13,In progress,Yes,,16548969
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,"EQUIFAX, INC.",FL,34983,,,Web,2025-10-13,In progress,Yes,,16541693
2025-09-30,Mortgage,Conventional home mortgage,Trouble during payment process,"Escrow, taxes, or insurance",,,Ocwen Financial Corporation,TN,37411,,,Web,2025-09-30,In progress,Yes,,16278077
2025-09-28,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,FL,33619,,,Web,2025-09-28,In progress,Yes,,16229276
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,SC,29560,,,Web,2025-10-11,In progress,Yes,,16514319
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",FL,32216,,,Web,2025-10-12,In progress,Yes,,16529134
2025-09-28,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Information belongs to someone else,,,AMERICAN EXPRESS COMPANY,FL,342XX,Servicemember,,Web,2025-09-28,In progress,Yes,,16216414
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,NJ,07050,,,Web,2025-10-11,In progress,Yes,,16516794
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,Experian Information Solutions Inc.,FL,33032,,,Web,2025-10-11,In progress,Yes,,16518207
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10705,,,Web,2025-10-12,In progress,Yes,,16528788
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,"Bread Financial Holdings, Inc.",CA,95328,,,Web,2025-09-29,Closed with explanation,Yes,,16246359
2025-10-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"Bread Financial Holdings, Inc.",LA,70126,,,Web,2025-10-04,Closed with explanation,Yes,,16361059
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,Experian Information Solutions Inc.,NY,10458,,,Web,2025-10-10,In progress,Yes,,16501940
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,34951,,,Web,2025-10-13,In progress,Yes,,16554279
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",FL,33056,,,Web,2025-10-13,In progress,Yes,,16540250
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,"EQUIFAX, INC.",MS,39209,,,Web,2025-10-13,In progress,Yes,,16526193
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",CA,90006,,,Web,2025-10-13,In progress,Yes,,16549174
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60640,,,Web,2025-10-12,In progress,Yes,,16517088
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,AL,35234,,,Web,2025-10-10,In progress,Yes,,16511510
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,FL,33032,,,Web,2025-09-29,In progress,Yes,,16246509
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,Experian Information Solutions Inc.,FL,34470,,,Web,2025-10-11,In progress,Yes,,16520576
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,TX,77089,,,Web,2025-09-29,In progress,Yes,,16232325
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,"EQUIFAX, INC.",FL,33442,,,Web,2025-10-13,In progress,Yes,,16543478
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",MS,39601,,,Web,2025-10-13,In progress,Yes,,16549212
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,,,"EQUIFAX, INC.",NJ,07018,,,Web,2025-10-13,In progress,Yes,,16553964
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,34982,,,Web,2025-10-12,In progress,Yes,,16524657
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",MS,39773,,,Web,2025-10-13,In progress,Yes,,16553494
2025-09-30,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,"Green & Sons Agency, Inc.",NV,89166,Servicemember,,Web,2025-09-30,Closed with explanation,Yes,,16257479
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",TX,75254,,,Web,2025-10-13,In progress,Yes,,16536750
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",MS,39341,,,Web,2025-10-13,In progress,Yes,,16543541
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,,Experian Information Solutions Inc.,TX,77036,,,Web,2025-09-29,In progress,Yes,,16254994
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with fraud alerts or security freezes,,,,LEXISNEXIS,NJ,075XX,,,Web,2025-10-10,Closed with non-monetary relief,Yes,,16500786
2025-10-01,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Trouble accessing funds in your mobile or digital wallet,,,,"Paypal Holdings, Inc",AL,XXXXX,,,Web,2025-10-01,Closed with explanation,Yes,,16305618
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30241,,,Web,2025-10-10,In progress,Yes,,16505660
2025-09-30,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",TX,77864,,,Web,2025-09-30,In progress,Yes,,16261175
2025-10-12,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",NY,11216,,Consent not provided,Web,2025-10-12,Closed with explanation,Yes,,16524636
2025-10-06,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77095,,,Web,2025-10-06,In progress,Yes,,16387580
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",NY,10460,,,Web,2025-10-13,In progress,Yes,,16537783
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,SC,29115,,,Web,2025-10-10,In progress,Yes,,16499946
2025-09-28,Credit reporting or other personal consumer reports,Other personal consumer report,Incorrect information on your report,Information is incorrect,,,Experian Information Solutions Inc.,FL,33312,,,Web,2025-09-28,In progress,Yes,,16227839
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,,,Experian Information Solutions Inc.,NE,68516,,,Web,2025-10-11,In progress,Yes,,16493814
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",IL,60609,,,Web,2025-10-13,In progress,Yes,,16544057
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",TX,76106,,,Web,2025-10-13,In progress,Yes,,16534846
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"Southwest Credit Systems, L.P.",DC,20019,,,Web,2025-09-29,Closed with non-monetary relief,Yes,,16251619
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,63135,,,Web,2025-10-10,In progress,Yes,,16510559
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,85345,,,Web,2025-10-13,In progress,Yes,,16528068
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,317XX,,,Web,2025-10-10,In progress,Yes,,16504888
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,FL,33024,,,Web,2025-10-10,In progress,Yes,,16501242
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77301,,,Web,2025-10-10,In progress,Yes,,16505131
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60653,,,Web,2025-10-12,In progress,Yes,,16524947
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",IL,60411,,,Web,2025-10-13,In progress,Yes,,16547152
2025-09-24,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",FL,33635,,,Web,2025-09-24,In progress,Yes,,16141742
2025-10-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,NC,28390,,,Web,2025-10-04,In progress,Yes,,16370010
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,35234,,,Web,2025-10-13,In progress,Yes,,16532179
2025-07-29,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"This is my second dispute, and the continued presence of inaccurate, unverifiable, or misleading information on my credit report is unacceptable. Under the FCRA 1681i and 1681s-2, furnishers and credit reporting agencies are required to fully verify the accuracy of all reported information. Additionally, under the Consumer Financial Protection Act ( CFPA ), 12 U.S.C. 5531, any deceptive or unfair reporting is prohibited. I demand that all unverifiable items be deleted immediately.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,85706,,Consent provided,Web,2025-07-29,Closed with non-monetary relief,Yes,,14961456
2019-12-26,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,,,CAPITAL ONE FINANCIAL CORPORATION,CA,94025,,Consent not provided,Web,2019-12-26,Closed with explanation,Yes,,3477549
2020-05-08,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,These are not my accounts.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NV,89030,,Consent provided,Web,2020-05-08,Closed with explanation,Yes,,3642453
2025-09-24,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",KS,67206,,,Web,2025-09-24,In progress,Yes,,16152255
2025-09-18,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,Experian Information Solutions Inc.,GA,30517,,,Postal mail,2025-09-18,In progress,Yes,,16039122
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",NY,11356,,,Web,2025-10-10,In progress,Yes,,16512665
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,,Experian Information Solutions Inc.,GA,303XX,,,Web,2025-10-11,In progress,Yes,,16517977
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",FL,33030,,,Web,2025-10-13,In progress,Yes,,16555857
2025-09-28,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,,,Experian Information Solutions Inc.,IL,601XX,,,Web,2025-09-28,In progress,Yes,,16228361
2025-10-03,Mortgage,Conventional home mortgage,Trouble during payment process,Trying to communicate with the company to fix an issue while managing or servicing your loan,,,"CMG Financial Services, Inc.",MA,01606,,,Web,2025-10-03,Closed with explanation,Yes,,16353132
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,,Experian Information Solutions Inc.,WA,98405,,,Web,2025-10-10,In progress,Yes,,16503655
2025-10-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,MA,XXXXX,,,Web,2025-10-04,In progress,Yes,,16370442
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",GA,30093,,,Web,2025-10-13,In progress,Yes,,16539085
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60612,,,Web,2025-10-12,In progress,Yes,,16517794
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,"EQUIFAX, INC.",TX,78852,,,Web,2025-10-13,In progress,Yes,,16542543
2025-10-09,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,,Experian Information Solutions Inc.,IL,60630,,,Web,2025-10-09,In progress,Yes,,16475650
2025-10-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,TX,77004,,,Web,2025-10-07,In progress,Yes,,16412696
2025-09-20,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"Bread Financial Holdings, Inc.",WI,53218,,,Web,2025-10-03,Closed with explanation,Yes,,16041688
2025-09-23,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,CA,93630,,,Web,2025-09-23,In progress,Yes,,16077048
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,"EQUIFAX, INC.",NC,284XX,,,Web,2025-09-29,In progress,Yes,,16246972
2025-09-29,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,27545,,,Web,2025-09-29,In progress,Yes,,16237002
2025-10-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,,Experian Information Solutions Inc.,AZ,86442,,,Web,2025-10-10,In progress,Yes,,16499225
2025-10-08,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,,JPMORGAN CHASE & CO.,VA,23235,Older American,,Web,2025-10-08,Closed with explanation,Yes,,16453321
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",PA,19145,,,Web,2025-10-11,In progress,Yes,,16517508
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",WA,98058,,,Web,2025-10-12,In progress,Yes,,16525286
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,,,"EQUIFAX, INC.",MD,21046,,,Web,2025-10-13,In progress,Yes,,16548959
2025-10-11,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,45238,,,Web,2025-10-11,In progress,Yes,,16520307
2025-09-26,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",LA,70058,,,Web,2025-09-26,In progress,Yes,,16205737
2025-09-29,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,,TRANSWORLD SYSTEMS INC,AZ,85387,,,Web,2025-09-29,Closed with explanation,Yes,,16247204
2025-10-02,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,,,JPMORGAN CHASE & CO.,FL,33705,Older American,,Web,2025-10-02,Closed with explanation,Yes,,16328645
2025-08-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,"I have never legally gone by these personal information nor do not currently reside at the listed residence. The inclusion of inaccurate aliases and unrelated or outdated addresses not only violates the Fair Credit Reporting Act ( FCRA ) under 15 U.S.C. 1681e ( b ) which requires credit reporting agencies to maintain maximum possible accuracy but also creates a serious risk of identity confusion and impairs my ability to obtain credit under accurate and fair conditions. The presence of such erroneous personal information also raises concerns of data mishandling, especially in light of recent national data breaches. Despite previous attempts to have this information corrected, Bureaus might have failed to remove the incorrect aliases and address entries, even though I have never used these names and do not reside at the listed locations.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,95831,,Consent provided,Web,2025-08-13,Closed with explanation,Yes,,15267150
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",TX,75023,,,Web,2025-10-13,In progress,Yes,,16544599
2025-10-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,,"EQUIFAX, INC.",GA,30228,,,Web,2025-10-13,In progress,Yes,,16547268
2025-09-24,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32332,,,Web,2025-09-24,In progress,Yes,,16163937
2025-08-20,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33548,,Consent not provided,Web,2025-08-20,Closed with explanation,Yes,,15400390
2025-10-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,,Experian Information Solutions Inc.,GA,30043,,,Web,2025-10-04,In progress,Yes,,16367675
